guess	qty	min	max 	ave 	lw/max	p2
salet	161	1	0309	19.68	10.3	1,669
tarse	158	1	0319	20.05	09.9	1,608
peart	157	1	0357	20.18	08.9	2,174
caret	155	1	0347	20.44	09.1	1,764
reast	154	1	0319	20.57	09.9	1,883
slate	154	1	0329	20.57	09.6	2,006
carle	153	1	0348	20.71	09.1	1,930
parse	152	1	0353	20.84	09.0	2,103
sater	151	1	0319	20.98	09.9	1,576
cater	151	1	0347	20.98	09.1	1,900
carte	151	1	0347	20.98	09.1	1,917
crate	151	1	0347	20.98	09.1	1,993
trace	151	1	0347	20.98	09.1	2,010
carpe	151	1	0400	20.98	07.9	2,504
tiare	150	1	0277	21.12	11.4	1,529
tried	150	1	0444	21.12	07.1	2,411
tared	149	1	0375	21.26	08.5	1,918
parte	149	1	0357	21.26	08.9	2,020
carne	149	1	0360	21.26	08.8	2,056
derat	149	1	0375	21.26	08.5	2,097
torse	148	1	0328	21.41	09.7	1,956
earst	148	1	0324	21.41	09.8	2,073
raned	148	1	0383	21.41	08.3	2,139
least	148	1	0354	21.41	09.0	2,216
cared	148	1	0416	21.41	07.6	2,335
cruet	148	1	0425	21.41	07.5	2,661
taser	147	1	0319	21.55	09.9	1,675
stale	147	1	0329	21.55	09.6	2,181
prase	147	1	0353	21.55	09.0	2,326
cadre	147	1	0416	21.55	07.6	2,354
curet	147	1	0425	21.55	07.5	2,712
caron	147	1	0463	21.55	06.8	3,036
later	146	1	0290	21.70	10.9	1,616
tares	146	1	0319	21.70	09.9	1,676
carse	146	1	0329	21.70	09.6	2,022
crane	146	1	0360	21.70	08.8	2,192
palet	146	1	0340	21.70	09.3	2,197
tread	146	1	0375	21.70	08.5	2,248
ailed	146	1	0343	21.70	09.2	2,329
heart	146	1	0356	21.70	08.9	2,475
tiler	145	1	0324	21.85	09.8	1,960
prate	145	1	0357	21.85	08.9	2,143
trine	145	1	0383	21.85	08.3	2,264
reist	145	1	0362	21.85	08.8	2,330
cried	145	1	0475	21.85	06.7	2,928
taler	144	1	0290	22.00	10.9	1,573
rated	144	1	0375	22.00	08.5	2,038
dater	144	1	0375	22.00	08.5	2,040
teras	144	1	0319	22.00	09.9	2,084
react	144	1	0347	22.00	09.1	2,262
denar	144	1	0383	22.00	08.3	2,324
riled	144	1	0406	22.00	07.8	2,628
ratel	143	1	0290	22.15	10.9	1,625
laten	143	1	0297	22.15	10.7	1,960
resat	143	1	0319	22.15	09.9	2,087
tears	143	1	0319	22.15	09.9	2,096
aider	143	1	0311	22.15	10.2	2,122
caner	143	1	0360	22.15	08.8	2,123
thrae	143	1	0356	22.15	08.9	2,317
setal	143	1	0354	22.15	09.0	2,367
crape	143	1	0400	22.15	07.9	2,740
saner	142	1	0302	22.31	10.5	1,650
snare	142	1	0302	22.31	10.5	1,953
antre	142	1	0322	22.31	09.8	1,954
saine	142	1	0330	22.31	09.6	1,969
trade	142	1	0375	22.31	08.5	2,036
litre	142	1	0324	22.31	09.8	2,089
spare	142	1	0353	22.31	09.0	2,464
retin	142	1	0383	22.31	08.3	2,711
diner	142	1	0457	22.31	06.9	2,960
feart	142	1	0404	22.31	07.8	2,974
sient	142	1	0503	22.31	06.3	3,408
aired	141	1	0311	22.47	10.2	2,041
liter	141	1	0324	22.47	09.8	2,077
pater	141	1	0357	22.47	08.9	2,104
lacer	141	1	0348	22.47	09.1	2,129
arled	141	1	0370	22.47	08.6	2,146
trape	141	1	0357	22.47	08.9	2,216
armet	141	1	0377	22.47	08.4	2,249
tamer	141	1	0377	22.47	08.4	2,270
anise	141	1	0330	22.47	09.6	2,337
patel	141	1	0340	22.47	09.3	2,351
citer	141	1	0398	22.47	08.0	2,459
roted	141	1	0426	22.47	07.4	2,478
repat	141	1	0357	22.47	08.9	2,527
pared	141	1	0425	22.47	07.5	2,539
tired	141	1	0444	22.47	07.1	2,555
caper	141	1	0400	22.47	07.9	2,609
train	141	1	0442	22.47	07.2	2,756
cider	141	1	0475	22.47	06.7	3,131
pried	141	1	0509	22.47	06.2	3,245
sared	140	1	0351	22.63	09.0	1,891
stare	140	1	0319	22.63	09.9	2,005
sated	140	1	0361	22.63	08.8	2,105
parle	140	1	0354	22.63	09.0	2,117
tires	140	1	0362	22.63	08.8	2,142
paler	140	1	0354	22.63	09.0	2,143
paren	140	1	0365	22.63	08.7	2,186
dealt	140	1	0361	22.63	08.8	2,305
dearn	140	1	0383	22.63	08.3	2,343
corse	140	1	0346	22.63	09.2	2,451
salep	140	1	0364	22.63	08.7	2,486
raced	140	1	0416	22.63	07.6	2,567
clear	140	1	0348	22.63	09.1	2,605
rotan	140	1	0384	22.63	08.3	2,751
shale	140	1	0403	22.63	07.9	2,863
spate	140	1	0379	22.63	08.4	2,899
bared	140	1	0471	22.63	06.7	2,981
cored	140	1	0475	22.63	06.7	2,992
truce	140	1	0425	22.63	07.5	3,077
pleat	140	1	0432	22.63	07.3	3,157
perst	140	1	0449	22.63	07.1	3,191
surat	140	1	0500	22.63	06.3	3,325
prest	140	1	0449	22.63	07.1	3,498
filet	140	1	0499	22.63	06.4	3,689
artel	139	1	0290	22.79	10.9	1,651
alien	139	1	0303	22.79	10.5	2,116
sacre	139	1	0329	22.79	09.6	2,142
lader	139	1	0370	22.79	08.6	2,219
ramet	139	1	0377	22.79	08.4	2,239
slane	139	1	0348	22.79	09.1	2,257
leant	139	1	0355	22.79	08.9	2,301
saute	139	1	0391	22.79	08.1	2,461
petar	139	1	0357	22.79	08.9	2,501
trice	139	1	0398	22.79	08.0	2,536
lapse	139	1	0383	22.79	08.3	2,759
aroid	139	1	0385	22.79	08.2	2,773
horse	139	1	0373	22.79	08.5	2,774
tiled	139	1	0450	22.79	07.0	2,846
spale	139	1	0383	22.79	08.3	2,888
tepal	139	1	0371	22.79	08.5	2,950
cleat	139	1	0443	22.79	07.2	3,060
chare	139	1	0408	22.79	07.8	3,102
caple	139	1	0424	22.79	07.5	3,195
heast	139	1	0429	22.79	07.4	3,232
racon	139	1	0463	22.79	06.8	3,330
satin	139	1	0533	22.79	05.9	3,339
shite	139	1	0477	22.79	06.6	3,739
oater	138	1	0258	22.96	12.3	1,603
rates	138	1	0319	22.96	09.9	1,784
paire	138	1	0297	22.96	10.7	1,947
siren	138	1	0347	22.96	09.1	2,134
tries	138	1	0362	22.96	08.8	2,143
rites	138	1	0362	22.96	08.8	2,242
rance	138	1	0360	22.96	08.8	2,264
mater	138	1	0377	22.96	08.4	2,312
aline	138	1	0318	22.96	10.0	2,312
taber	138	1	0391	22.96	08.1	2,433
pearl	138	1	0354	22.96	09.0	2,490
resit	138	1	0362	22.96	08.8	2,537
redan	138	1	0383	22.96	08.3	2,600
blare	138	1	0393	22.96	08.1	2,662
arced	138	1	0416	22.96	07.6	2,667
toran	138	1	0384	22.96	08.3	2,686
throe	138	1	0393	22.96	08.1	2,724
cedar	138	1	0416	22.96	07.6	2,749
doner	138	1	0424	22.96	07.5	2,788
barde	138	1	0471	22.96	06.7	3,000
baled	138	1	0495	22.96	06.4	3,459
raise	137	1	0240	23.12	13.2	1,555
ranse	137	1	0302	23.12	10.5	1,831
roset	137	1	0328	23.12	09.7	1,990
tores	137	1	0328	23.12	09.7	2,046
retia	137	1	0277	23.12	11.4	2,089
alert	137	1	0290	23.12	10.9	2,097
learn	137	1	0303	23.12	10.5	2,135
alder	137	1	0370	23.12	08.6	2,318
roast	137	1	0392	23.12	08.1	2,422
baler	137	1	0393	23.12	08.1	2,549
doter	137	1	0426	23.12	07.4	2,555
padre	137	1	0425	23.12	07.5	2,585
crone	137	1	0380	23.12	08.3	2,694
triad	137	1	0417	23.12	07.6	2,711
leapt	137	1	0371	23.12	08.5	2,786
slart	137	1	0429	23.12	07.4	2,811
paste	137	1	0379	23.12	08.4	2,814
earth	137	1	0370	23.12	08.6	2,833
sited	137	1	0464	23.12	06.8	2,856
paled	137	1	0445	23.12	07.1	2,954
lited	137	1	0450	23.12	07.0	2,969
cuter	137	1	0425	23.12	07.5	3,008
ranid	137	1	0439	23.12	07.2	3,020
drice	137	1	0475	23.12	06.7	3,047
sepal	137	1	0390	23.12	08.1	3,152
blase	137	1	0391	23.12	08.1	3,174
tined	137	1	0490	23.12	06.5	3,245
frite	137	1	0475	23.12	06.7	3,416
buret	137	1	0486	23.12	06.5	3,458
ariel	136	1	0253	23.29	12.5	1,583
alter	136	1	0290	23.29	10.9	1,722
raine	136	1	0278	23.29	11.4	1,725
cares	136	1	0329	23.29	09.6	2,087
taper	136	1	0357	23.29	08.9	2,172
saned	136	1	0358	23.29	08.9	2,258
lacet	136	1	0330	23.29	09.6	2,282
lated	136	1	0361	23.29	08.8	2,299
targe	136	1	0380	23.29	08.3	2,420
marse	136	1	0363	23.29	08.7	2,422
teals	136	1	0354	23.29	09.0	2,424
rinse	136	1	0347	23.29	09.1	2,436
seron	136	1	0316	23.29	10.0	2,463
lager	136	1	0374	23.29	08.5	2,498
share	136	1	0331	23.29	09.6	2,545
taros	136	1	0392	23.29	08.1	2,567
hared	136	1	0400	23.29	07.9	2,591
poser	136	1	0379	23.29	08.4	2,674
thale	136	1	0352	23.29	09.0	2,701
halse	136	1	0403	23.29	07.9	2,784
timer	136	1	0419	23.29	07.6	2,866
mitre	136	1	0419	23.29	07.6	2,905
spire	136	1	0409	23.29	07.8	2,959
petal	136	1	0371	23.29	08.5	3,008
belar	136	1	0393	23.29	08.1	3,009
crame	136	1	0425	23.29	07.5	3,063
sined	136	1	0464	23.29	06.8	3,109
saint	136	1	0533	23.29	05.9	3,285
riced	136	1	0475	23.29	06.7	3,290
galed	136	1	0485	23.29	06.5	3,373
clied	136	1	0504	23.29	06.3	3,405
purse	136	1	0464	23.29	06.8	3,644
chart	136	1	0636	23.29	05.0	4,765
tales	135	1	0309	23.47	10.3	2,025
toner	135	1	0344	23.47	09.2	2,109
earnt	135	1	0322	23.47	09.8	2,231
hater	135	1	0356	23.47	08.9	2,234
snore	135	1	0311	23.47	10.2	2,323
spaer	135	1	0353	23.47	09.0	2,351
relit	135	1	0324	23.47	09.8	2,393
stire	135	1	0362	23.47	08.8	2,415
stane	135	1	0343	23.47	09.2	2,446
nitre	135	1	0383	23.47	08.3	2,489
leats	135	1	0354	23.47	09.0	2,497
grate	135	1	0380	23.47	08.3	2,516
paten	135	1	0352	23.47	09.0	2,531
large	135	1	0374	23.47	08.5	2,539
sider	135	1	0406	23.47	07.8	2,564
plate	135	1	0340	23.47	09.3	2,619
drone	135	1	0424	23.47	07.5	2,626
sitar	135	1	0423	23.47	07.5	2,645
argle	135	1	0374	23.47	08.5	2,659
lance	135	1	0369	23.47	08.6	2,714
scale	135	1	0387	23.47	08.2	2,786
tripe	135	1	0428	23.47	07.4	2,813
plane	135	1	0372	23.47	08.5	2,813
apert	135	1	0357	23.47	08.9	2,817
crine	135	1	0404	23.47	07.8	2,878
great	135	1	0380	23.47	08.3	2,954
garde	135	1	0456	23.47	07.0	2,981
caird	135	1	0467	23.47	06.8	3,092
cabre	135	1	0434	23.47	07.3	3,114
dinar	135	1	0439	23.47	07.2	3,129
coder	135	1	0475	23.47	06.7	3,171
snied	135	1	0464	23.47	06.8	3,178
alist	135	1	0490	23.47	06.5	3,342
sault	135	1	0572	23.47	05.5	3,732
sprue	135	1	0464	23.47	06.8	3,770
spait	135	1	0570	23.47	05.6	4,318
plast	135	1	0614	23.47	05.2	4,335
raile	134	1	0253	23.64	12.5	1,579
soare	134	1	0238	23.64	13.3	1,614
arise	134	1	0240	23.64	13.2	1,767
strae	134	1	0319	23.64	09.9	2,012
caser	134	1	0329	23.64	09.6	2,106
arsed	134	1	0351	23.64	09.0	2,174
trone	134	1	0344	23.64	09.2	2,175
adret	134	1	0375	23.64	08.5	2,221
gater	134	1	0380	23.64	08.3	2,392
anile	134	1	0318	23.64	10.0	2,406
dorse	134	1	0393	23.64	08.1	2,415
teary	134	1	0335	23.64	09.5	2,440
paise	134	1	0351	23.64	09.0	2,466
redia	134	1	0311	23.64	10.2	2,497
trail	134	1	0387	23.64	08.2	2,538
ariot	134	1	0348	23.64	09.1	2,585
tiles	134	1	0390	23.64	08.1	2,601
outre	134	1	0323	23.64	09.8	2,636
baile	134	1	0353	23.64	09.0	2,731
pacer	134	1	0400	23.64	07.9	2,735
raped	134	1	0425	23.64	07.5	2,773
spier	134	1	0409	23.64	07.8	2,791
ronde	134	1	0424	23.64	07.5	2,794
coure	134	1	0373	23.64	08.5	2,980
drain	134	1	0439	23.64	07.2	3,061
biter	134	1	0445	23.64	07.1	3,063
raged	134	1	0456	23.64	07.0	3,082
sonce	134	1	0458	23.64	06.9	3,151
brace	134	1	0434	23.64	07.3	3,197
beard	134	1	0471	23.64	06.7	3,258
piert	134	1	0428	23.64	07.4	3,275
neist	134	1	0441	23.64	07.2	3,307
dicer	134	1	0475	23.64	06.7	3,320
curse	134	1	0420	23.64	07.5	3,357
morat	134	1	0470	23.64	06.7	3,369
slant	134	1	0531	23.64	06.0	3,479
speat	134	1	0462	23.64	06.9	3,610
clame	134	1	0438	23.64	07.2	3,642
baron	134	1	0490	23.64	06.5	3,841
robed	134	1	0544	23.64	05.8	3,917
saunt	134	1	0598	23.64	05.3	4,007
fried	134	1	0561	23.64	05.7	4,154
biled	134	1	0575	23.64	05.5	4,398
horst	134	1	0623	23.64	05.1	4,459
roate	133	1	0258	23.82	12.3	1,519
sorel	133	1	0300	23.82	10.6	1,855
siler	133	1	0311	23.82	10.2	2,032
seral	133	1	0287	23.82	11.0	2,035
deair	133	1	0311	23.82	10.2	2,074
liane	133	1	0318	23.82	10.0	2,221
pares	133	1	0353	23.82	09.0	2,290
renal	133	1	0303	23.82	10.5	2,292
apter	133	1	0357	23.82	08.9	2,385
scare	133	1	0329	23.82	09.6	2,429
nacre	133	1	0360	23.82	08.8	2,430
tolar	133	1	0355	23.82	08.9	2,431
diane	133	1	0354	23.82	09.0	2,442
sired	133	1	0406	23.82	07.8	2,476
slade	133	1	0365	23.82	08.7	2,481
leary	133	1	0310	23.82	10.2	2,536
luter	133	1	0333	23.82	09.5	2,549
serin	133	1	0347	23.82	09.1	2,565
ramen	133	1	0374	23.82	08.5	2,567
laned	133	1	0398	23.82	08.0	2,573
rotal	133	1	0355	23.82	08.9	2,584
porte	133	1	0392	23.82	08.1	2,609
dolie	133	1	0365	23.82	08.7	2,660
silen	133	1	0378	23.82	08.4	2,661
glare	133	1	0374	23.82	08.5	2,680
pales	133	1	0364	23.82	08.7	2,711
piler	133	1	0393	23.82	08.1	2,784
pated	133	1	0399	23.82	07.9	2,801
riant	133	1	0442	23.82	07.2	2,823
toned	133	1	0425	23.82	07.5	2,867
table	133	1	0383	23.82	08.3	2,891
thane	133	1	0363	23.82	08.7	2,908
borel	133	1	0422	23.82	07.5	2,939
prise	133	1	0409	23.82	07.8	2,949
bales	133	1	0391	23.82	08.1	3,021
trued	133	1	0470	23.82	06.7	3,086
deist	133	1	0464	23.82	06.8	3,109
tapir	133	1	0474	23.82	06.7	3,201
puler	133	1	0418	23.82	07.6	3,230
pored	133	1	0497	23.82	06.4	3,299
culet	133	1	0421	23.82	07.5	3,304
suite	133	1	0452	23.82	07.0	3,308
clart	133	1	0485	23.82	06.5	3,326
gilet	133	1	0461	23.82	06.9	3,355
pelas	133	1	0390	23.82	08.1	3,359
cairn	133	1	0497	23.82	06.4	3,360
price	133	1	0461	23.82	06.9	3,424
place	133	1	0424	23.82	07.5	3,440
teind	133	1	0490	23.82	06.5	3,470
delay	133	1	0399	23.82	07.9	3,506
bread	133	1	0471	23.82	06.7	3,545
space	133	1	0430	23.82	07.4	3,562
maron	133	1	0479	23.82	06.6	3,663
brute	133	1	0486	23.82	06.5	3,817
bored	133	1	0544	23.82	05.8	3,836
flite	133	1	0499	23.82	06.4	4,130
canid	133	1	0603	23.82	05.3	4,338
orate	132	1	0258	24.00	12.3	1,715
rotes	132	1	0328	24.00	09.7	2,133
rased	132	1	0351	24.00	09.0	2,162
alure	132	1	0273	24.00	11.6	2,183
tased	132	1	0361	24.00	08.8	2,296
arets	132	1	0319	24.00	09.9	2,378
stear	132	1	0319	24.00	09.9	2,382
daine	132	1	0354	24.00	09.0	2,382
marle	132	1	0369	24.00	08.6	2,396
senor	132	1	0316	24.00	10.0	2,397
niter	132	1	0383	24.00	08.3	2,478
cores	132	1	0346	24.00	09.2	2,527
cadet	132	1	0381	24.00	08.3	2,534
salue	132	1	0398	24.00	08.0	2,565
panel	132	1	0372	24.00	08.5	2,637
anted	132	1	0372	24.00	08.5	2,650
troad	132	1	0390	24.00	08.1	2,654
caste	132	1	0380	24.00	08.3	2,655
trial	132	1	0387	24.00	08.2	2,665
tride	132	1	0444	24.00	07.1	2,680
sarin	132	1	0413	24.00	07.7	2,698
pates	132	1	0370	24.00	08.6	2,716
trues	132	1	0401	24.00	07.9	2,727
plier	132	1	0393	24.00	08.1	2,739
pores	132	1	0379	24.00	08.4	2,746
taped	132	1	0399	24.00	07.9	2,815
prose	132	1	0379	24.00	08.4	2,861
heard	132	1	0400	24.00	07.9	2,867
stile	132	1	0390	24.00	08.1	2,890
preta	132	1	0357	24.00	08.9	2,933
morse	132	1	0389	24.00	08.1	2,957
blate	132	1	0383	24.00	08.3	3,038
seton	132	1	0427	24.00	07.4	3,044
radon	132	1	0405	24.00	07.8	3,064
birle	132	1	0409	24.00	07.8	3,083
blore	132	1	0422	24.00	07.5	3,143
ragde	132	1	0456	24.00	07.0	3,150
borne	132	1	0426	24.00	07.4	3,196
coral	132	1	0433	24.00	07.3	3,229
coper	132	1	0445	24.00	07.1	3,259
cripe	132	1	0461	24.00	06.9	3,462
runed	132	1	0479	24.00	06.6	3,520
clean	132	1	0450	24.00	07.0	3,593
slipe	132	1	0455	24.00	07.0	3,597
shote	132	1	0454	24.00	07.0	3,624
thine	132	1	0453	24.00	07.0	3,739
borde	132	1	0544	24.00	05.8	3,809
terse	132	1	0551	24.00	05.8	3,832
roust	132	1	0557	24.00	05.7	3,845
salty	132	1	0569	24.00	05.6	3,963
phase	132	1	0451	24.00	07.0	3,964
curat	132	1	0540	24.00	05.9	3,984
piled	132	1	0552	24.00	05.7	3,988
grant	132	1	0561	24.00	05.7	4,016
bider	132	1	0535	24.00	05.9	4,021
heist	132	1	0492	24.00	06.4	4,065
bodle	132	1	0536	24.00	05.9	4,128
shart	132	1	0563	24.00	05.6	4,199
rogan	132	1	0495	24.00	06.4	4,281
shalt	132	1	0642	24.00	04.9	4,665
laser	131	1	0287	24.18	11.0	1,798
urate	131	1	0276	24.18	11.5	2,153
ronte	131	1	0344	24.18	09.2	2,225
rones	131	1	0311	24.18	10.2	2,280
store	131	1	0328	24.18	09.7	2,329
risen	131	1	0347	24.18	09.1	2,452
faire	131	1	0326	24.18	09.7	2,509
poler	131	1	0380	24.18	08.3	2,615
maile	131	1	0352	24.18	09.0	2,622
laden	131	1	0398	24.18	08.0	2,645
tuner	131	1	0387	24.18	08.2	2,720
shoer	131	1	0373	24.18	08.5	2,725
brane	131	1	0403	24.18	07.9	2,747
ceorl	131	1	0360	24.18	08.8	2,772
pears	131	1	0353	24.18	09.0	2,829
range	131	1	0401	24.18	07.9	2,873
frate	131	1	0404	24.18	07.8	2,874
siled	131	1	0442	24.18	07.2	2,904
spore	131	1	0379	24.18	08.4	2,944
roist	131	1	0462	24.18	06.9	2,963
tuile	131	1	0406	24.18	07.8	2,966
hanse	131	1	0410	24.18	07.7	2,976
lidar	131	1	0383	24.18	08.3	3,003
laced	131	1	0434	24.18	07.3	3,011
tamed	131	1	0428	24.18	07.4	3,050
padle	131	1	0445	24.18	07.1	3,052
rudie	131	1	0401	24.18	07.9	3,071
spane	131	1	0387	24.18	08.2	3,118
phare	131	1	0393	24.18	08.1	3,121
grade	131	1	0456	24.18	07.0	3,154
slice	131	1	0425	24.18	07.5	3,215
redon	131	1	0424	24.18	07.5	3,215
peals	131	1	0390	24.18	08.1	3,221
selah	131	1	0410	24.18	07.7	3,259
puter	131	1	0453	24.18	07.0	3,350
beast	131	1	0407	24.18	07.8	3,351
tabor	131	1	0478	24.18	06.6	3,516
lined	131	1	0489	24.18	06.5	3,521
crein	131	1	0416	24.18	07.6	3,532
those	131	1	0454	24.18	07.0	3,627
riped	131	1	0509	24.18	06.2	3,683
blade	131	1	0495	24.18	06.4	3,710
gored	131	1	0532	24.18	06.0	3,727
cured	131	1	0519	24.18	06.1	3,781
spite	131	1	0485	24.18	06.5	3,790
rimed	131	1	0517	24.18	06.1	3,864
cotan	131	1	0508	24.18	06.2	3,967
snirt	131	1	0562	24.18	05.6	3,979
plait	131	1	0544	24.18	05.8	3,982
spart	131	1	0553	24.18	05.7	3,996
bluet	131	1	0497	24.18	06.4	4,127
patin	131	1	0580	24.18	05.5	4,262
argon	131	1	0495	24.18	06.4	4,390
suent	131	1	0577	24.18	05.5	4,447
pulse	131	1	0512	24.18	06.2	4,533
giant	131	1	0619	24.18	05.1	4,711
soler	130	1	0300	24.37	10.6	1,932
oaten	130	1	0246	24.37	12.9	2,026
slier	130	1	0311	24.37	10.2	2,027
oared	130	1	0314	24.37	10.1	2,114
maire	130	1	0302	24.37	10.5	2,184
rouet	130	1	0323	24.37	09.8	2,238
liner	130	1	0331	24.37	09.6	2,412
scrae	130	1	0329	24.37	09.6	2,416
sored	130	1	0393	24.37	08.1	2,439
dales	130	1	0365	24.37	08.7	2,472
oread	130	1	0314	24.37	10.1	2,490
maser	130	1	0363	24.37	08.7	2,494
sarge	130	1	0354	24.37	09.0	2,496
lamer	130	1	0369	24.37	08.6	2,522
ramse	130	1	0363	24.37	08.7	2,554
baser	130	1	0372	24.37	08.5	2,580
trode	130	1	0426	24.37	07.4	2,590
liart	130	1	0387	24.37	08.2	2,600
toled	130	1	0391	24.37	08.1	2,652
ratio	130	1	0297	24.37	10.7	2,658
recal	130	1	0348	24.37	09.1	2,749
solde	130	1	0378	24.37	08.4	2,763
rides	130	1	0406	24.37	07.8	2,842
pries	130	1	0409	24.37	07.8	2,855
prone	130	1	0395	24.37	08.0	2,899
crena	130	1	0360	24.37	08.8	3,000
flare	130	1	0401	24.37	07.9	3,031
macer	130	1	0425	24.37	07.5	3,062
carol	130	1	0433	24.37	07.3	3,072
touse	130	1	0444	24.37	07.1	3,075
clade	130	1	0434	24.37	07.3	3,087
sable	130	1	0391	24.37	08.1	3,088
caber	130	1	0434	24.37	07.3	3,115
paned	130	1	0434	24.37	07.3	3,118
haste	130	1	0401	24.37	07.9	3,141
loden	130	1	0423	24.37	07.5	3,158
rosit	130	1	0462	24.37	06.9	3,162
liger	130	1	0402	24.37	07.9	3,183
leash	130	1	0410	24.37	07.7	3,229
clone	130	1	0428	24.37	07.4	3,256
peats	130	1	0395	24.37	08.0	3,260
rugae	130	1	0359	24.37	08.8	3,261
retip	130	1	0428	24.37	07.4	3,324
goner	130	1	0445	24.37	07.1	3,329
spiel	130	1	0455	24.37	07.0	3,337
pance	130	1	0418	24.37	07.6	3,396
slope	130	1	0429	24.37	07.4	3,397
angel	130	1	0414	24.37	07.7	3,409
torah	130	1	0442	24.37	07.2	3,427
plies	130	1	0455	24.37	07.0	3,430
parid	130	1	0467	24.37	06.8	3,432
flier	130	1	0440	24.37	07.2	3,482
cline	130	1	0430	24.37	07.4	3,511
super	130	1	0464	24.37	06.8	3,521
since	130	1	0455	24.37	07.0	3,525
pures	130	1	0464	24.37	06.8	3,577
runce	130	1	0436	24.37	07.3	3,612
manor	130	1	0479	24.37	06.6	3,612
snail	130	1	0511	24.37	06.2	3,681
acorn	130	1	0463	24.37	06.8	3,743
tuber	130	1	0486	24.37	06.5	3,778
cable	130	1	0461	24.37	06.9	3,783
acron	130	1	0463	24.37	06.8	3,830
pleas	130	1	0460	24.37	06.9	3,843
salut	130	1	0572	24.37	05.5	3,884
dimer	130	1	0517	24.37	06.1	3,888
genal	130	1	0427	24.37	07.4	3,892
timed	130	1	0525	24.37	06.0	3,981
chase	130	1	0465	24.37	06.8	3,986
ruble	130	1	0456	24.37	07.0	4,037
grano	130	1	0495	24.37	06.4	4,093
burse	130	1	0478	24.37	06.6	4,100
calid	130	1	0570	24.37	05.6	4,110
groan	130	1	0495	24.37	06.4	4,180
prost	130	1	0591	24.37	05.4	4,251
irate	129	1	0277	24.56	11.4	1,819
ranes	129	1	0302	24.56	10.5	1,902
pareo	129	1	0287	24.56	11.0	2,075
toile	129	1	0315	24.56	10.1	2,140
saice	129	1	0347	24.56	09.1	2,300
poire	129	1	0326	24.56	09.7	2,462
canoe	129	1	0350	24.56	09.1	2,494
tenor	129	1	0344	24.56	09.2	2,521
cates	129	1	0341	24.56	09.3	2,532
outer	129	1	0323	24.56	09.8	2,572
bares	129	1	0372	24.56	08.5	2,582
cires	129	1	0369	24.56	08.6	2,607
soled	129	1	0378	24.56	08.4	2,630
toper	129	1	0392	24.56	08.1	2,652
blaer	129	1	0393	24.56	08.1	2,666
dries	129	1	0406	24.56	07.8	2,703
ordie	129	1	0362	24.56	08.8	2,711
taels	129	1	0408	24.56	07.8	2,717
ratos	129	1	0392	24.56	08.1	2,723
lites	129	1	0390	24.56	08.1	2,740
trope	129	1	0392	24.56	08.1	2,748
tapes	129	1	0370	24.56	08.6	2,764
orant	129	1	0384	24.56	08.3	2,766
drape	129	1	0425	24.56	07.5	2,778
satem	129	1	0377	24.56	08.4	2,780
relay	129	1	0310	24.56	10.2	2,782
plore	129	1	0380	24.56	08.3	2,786
pilae	129	1	0334	24.56	09.5	2,830
eatin	129	1	0399	24.56	07.9	2,848
acred	129	1	0416	24.56	07.6	2,852
wrate	129	1	0416	24.56	07.6	2,913
deray	129	1	0350	24.56	09.1	2,943
trona	129	1	0384	24.56	08.3	2,967
hated	129	1	0408	24.56	07.8	2,972
miter	129	1	0419	24.56	07.6	2,990
spear	129	1	0358	24.56	08.9	3,008
eliad	129	1	0347	24.56	09.1	3,020
ceros	129	1	0346	24.56	09.2	3,021
caned	129	1	0430	24.56	07.4	3,024
poise	129	1	0422	24.56	07.5	3,028
artis	129	1	0423	24.56	07.5	3,053
sidle	129	1	0442	24.56	07.2	3,055
lunet	129	1	0378	24.56	08.4	3,081
curie	129	1	0381	24.56	08.3	3,125
poles	129	1	0379	24.56	08.4	3,157
trema	129	1	0377	24.56	08.4	3,195
bolet	129	1	0406	24.56	07.8	3,197
armed	129	1	0456	24.56	07.0	3,209
cures	129	1	0420	24.56	07.5	3,273
blear	129	1	0393	24.56	08.1	3,291
argue	129	1	0359	24.56	08.8	3,300
coled	129	1	0455	24.56	07.0	3,358
crest	129	1	0407	24.56	07.8	3,374
metro	129	1	0403	24.56	07.9	3,410
farce	129	1	0444	24.56	07.1	3,426
caneh	129	1	0418	24.56	07.6	3,481
worse	129	1	0441	24.56	07.2	3,543
debar	129	1	0471	24.56	06.7	3,573
rebit	129	1	0445	24.56	07.1	3,610
elint	129	1	0505	24.56	06.3	3,770
ringe	129	1	0467	24.56	06.8	3,793
chore	129	1	0459	24.56	06.9	3,799
bleat	129	1	0456	24.56	07.0	3,828
dirge	129	1	0535	24.56	05.9	3,866
algor	129	1	0454	24.56	07.0	3,869
plied	129	1	0552	24.56	05.7	3,961
teach	129	1	0461	24.56	06.9	3,967
braid	129	1	0500	24.56	06.3	3,987
sprat	129	1	0553	24.56	05.7	3,991
spine	129	1	0470	24.56	06.7	4,033
gulet	129	1	0484	24.56	06.6	4,069
reign	129	1	0467	24.56	06.8	4,116
freit	129	1	0475	24.56	06.7	4,180
bidet	129	1	0562	24.56	05.6	4,182
balot	129	1	0536	24.56	05.9	4,200
slept	129	1	0508	24.56	06.2	4,338
carom	129	1	0556	24.56	05.7	4,362
spelt	129	1	0508	24.56	06.2	4,386
pined	129	1	0570	24.56	05.6	4,410
cheat	129	1	0527	24.56	06.0	4,511
